Hepburn,Kana,English,Is Noun,Is Verb,Is Adjective,Is Adverb,Frequency
shatsu,シャツ,shirt (underwear)/undershirt/singlet,True,False,False,False,596532
katto,カット,cut/cutting,True,True,False,False,593698
besuto,ベスト,best,True,False,True,False,593246
hokkaidou,ホッカイドウ,NOTFOUND,False,False,False,False,592737
tsuaa,ツアー,tour,True,False,False,False,583337
puroguramu,プログラム,"program (of events, music, etc.)/programme",True,False,False,False,582823
raito,ライト,light,True,False,True,False,580256
beesu,ベース,base/basis/theme/basic ingredient,True,False,False,False,578642
botan,ボタン,button (clothing),True,False,False,False,573878
bideo,ビデオ,video,True,False,False,False,573581
daietto,ダイエット,diet,True,True,False,False,572709
tesuto,テスト,examination/quiz/test,True,True,False,False,572328
sakkaa,サッカー,soccer,True,False,False,False,571636
fuji,フジ,"wisteria (esp. Japanese wisteria, Wisteria floribunda)/wistaria",True,False,False,False,570957
mai,マイ,my/one's own/personal/privately owned,False,False,False,False,570596
menyuu,メニュー,menu,True,False,False,False,568683
furii,フリー,"free (of restraint, controls, etc.)",True,False,True,False,564965
doitsu,ドイツ,Germany,True,False,False,False,564160
pinku,ピンク,pink,True,False,False,False,559531
nagoya,ナゴヤ,NOTFOUND,False,False,False,False,557344
ero,エロ,erotic/pornographic/obscene,True,False,True,False,553063
buruu,ブルー,"blue (colour, color)",True,False,True,False,550214
koohii,コーヒー,coffee,True,False,False,False,548905
media,メディア,media,True,False,False,False,547626
koodo,コード,code,True,False,False,False,540260
saabaa,サーバー,server,True,False,False,False,538150
kuria,クリア,clear,True,False,True,False,538113
hai,ハイ,high (e.g. spirits)/merry,True,False,True,False,536162
ai,アイ,"dyer's knotweed (Persicaria tinctoria, used to produce indigo dye)",True,False,False,False,531939
kurikku,クリック,click,True,True,False,False,530444
yokohama,ヨコハマ,NOTFOUND,False,False,False,False,530363
shiito,シート,seat,True,False,False,False,527828
akusesu,アクセス,access,True,True,False,False,526377
riaru,リアル,real/realistic/true to life,True,False,True,False,524580
moodo,モード,"mode (musical mode, mode of probability distribution, state of physical system)",True,False,False,False,523642
bodii,ボディー,body,True,False,False,False,522435
oopun,オープン,"opening (a new store, golf course, runway, etc.)",True,True,False,False,521552
kabaa,カバー,cover/covering/dust jacket,True,True,False,False,519985
sutoorii,ストーリー,story/tale/legend,True,False,False,False,516662
kappu,カップ,"cup (drinking vessel, measure, brassiere, prize, etc.)",True,False,False,False,512392
suteeji,ステージ,stage,True,False,False,False,512271
kuriimu,クリーム,cream,True,False,False,False,511453
ajia,アジア,Asia,True,False,False,False,510234
kurisumasu,クリスマス,Christmas,True,False,False,False,509668
toire,トイレ,toilet/restroom/bathroom/lavatory,True,False,False,False,505672
keeki,ケーキ,cake,True,False,False,False,496523
enjin,エンジン,engine,True,False,False,False,495311
akira,アキラ,NOTFOUND,False,False,False,False,492845
kea,ケア,care,True,True,False,False,491890
kiro,キロ,kilo-/1000,False,False,False,False,490188
gasu,ガス,"gas (state of matter, e.g. poison gas, natural gas)",True,False,False,False,488871
howaito,ホワイト,white,True,False,True,False,487501
kyarakutaa,キャラクター,character/personality/disposition,True,False,False,False,484546
biiru,ビール,beer,True,False,False,False,482664
paateii,パーティー,"party (gathering, celebration, etc.)",True,False,False,False,478362
tai,タイ,tie/necktie,True,False,False,False,476207
biru,ビル,multi-floor building/multi-storey building,True,False,False,False,475180
koonaa,コーナー,corner/bend/turn,True,False,False,False,468919
fukuoka,フクオカ,NOTFOUND,False,False,False,False,468355
manshon,マンション,condominium (often mid-rise or high-rise concrete)/apartment building/apartment house/apartment/flat,True,False,False,False,468320
baito,バイト,part-time job/side job,True,True,False,False,464689
dansu,ダンス,dance,True,True,False,False,464231
hiroshi,ヒロシ,NOTFOUND,False,False,False,False,463589
messeeji,メッセージ,message,True,False,False,False,462662
dejitaru,デジタル,digital,True,False,False,False,462177
gitaa,ギター,guitar,True,False,False,False,461494
kosuto,コスト,cost,True,False,False,False,460822
hooru,ホール,"hall (dance, concert, etc.)",True,False,False,False,460087
shiizun,シーズン,season (period in which regulated games are played),True,False,False,False,458730
ofu,オフ,switching off (e.g. electricity)/turning off (e.g. water),True,True,False,False,458132
rankingu,ランキング,ranking,True,False,False,False,457077
kaa,カー,car,True,False,False,False,450811
yuu,ユウ,NOTFOUND,False,False,False,False,449341
chiba,チバ,NOTFOUND,False,False,False,False,449302
saido,サイド,side,True,False,False,False,448043
raamen,ラーメン,ramen/Chinese-style noodles,True,False,False,False,447635
supeesu,スペース,"space (room, area, outer space)",True,False,False,False,447574
ru,ル,NOTFOUND,False,False,False,False,442838
supiido,スピード,speed,True,False,False,False,442363
sutoresu,ストレス,stress,True,False,False,False,442221
poketto,ポケット,pocket,True,False,False,False,441018
teeburu,テーブル,table,True,False,False,False,439949
piano,ピアノ,piano,True,False,False,False,439651
sutaa,スター,"star (cinema, sports, etc.)/celebrity/idol",True,False,False,False,438889
pataan,パターン,pattern,True,False,False,False,438869
shoo,ショー,show,True,False,False,False,438654
janru,ジャンル,genre,True,False,False,False,437952
itaria,イタリア,Italy,True,False,False,False,436346
eria,エリア,area,True,False,False,False,435641
massaaji,マッサージ,massage,True,True,False,False,435326
baiku,バイク,motorcycle/motorbike,True,False,False,False,433812
beddo,ベッド,bed,True,False,False,False,433052
pantsu,パンツ,underpants/pants/briefs/panties/shorts/knickers,True,False,False,False,428562
petto,ペット,pet,True,False,False,False,426080
kansai,カンサイ,NOTFOUND,False,False,False,False,424333
rajio,ラジオ,radio,True,False,False,False,424179
soosu,ソース,sauce,True,False,False,False,423625
nettowaaku,ネットワーク,network,True,False,False,False,423524
baajon,バージョン,version,True,False,False,False,421628
risuto,リスト,list,True,False,False,False,420133
ken,ケン,NOTFOUND,False,False,False,False,418332
hiroshima,ヒロシマ,"Hiroshima (city, prefecture)",True,False,False,False,417104
waado,ワード,word,True,False,False,False,416597
purojiekuto,プロジェクト,project,True,False,False,False,415050
oiru,オイル,oil/petroleum,True,False,False,False,411917
resu,レス,response,True,True,False,False,410396
hitto,ヒット,hit/base hit/safe hit/single,True,True,False,False,407601
hausu,ハウス,house,True,False,False,False,407480
doa,ドア,"door (Western-style, car, etc.)",True,False,False,False,407478
guriin,グリーン,green (colour),True,False,False,False,404120
ran,ラン,run,True,False,False,False,402479
mini,ミニ,mini-,True,False,False,False,401395
baa,バー,bar,True,False,False,False,400341
gorufu,ゴルフ,golf,True,False,False,False,399403
maaku,マーク,mark/symbol/insignia/logo/label/emblem,True,False,False,False,396799
karee,カレー,curry (esp. Japanese curry),True,False,False,False,395895
fukushima,フクシマ,NOTFOUND,False,False,False,False,395232
purasu,プラス,plus/addition,True,True,False,False,394743
risuku,リスク,risk,True,False,False,False,393069
rabu,ラブ,love,True,True,False,False,390521
koube,コウベ,NOTFOUND,False,False,False,False,386848
riigu,リーグ,league,True,False,False,False,386554
sukiru,スキル,skill,True,False,False,False,385501
torakku,トラック,truck/lorry,True,False,False,False,385396
resutoran,レストラン,restaurant (esp. Western-style),True,False,False,False,382101
pureeyaa,プレーヤー,player,True,False,False,False,381228
za,ザ,the,False,False,False,False,377862
misu,ミス,mistake/error/failure,True,True,False,False,375794
debyuu,デビュー,debut/doing something for the first time,True,True,False,False,375079
soro,ソロ,solo,True,False,False,False,374711
aidoru,アイドル,entertainer (esp. boy band or girl group member) whose image is manufactured to cultivate a dedicated consumer fan following/Japanese idol,True,False,False,False,374242
taimingu,タイミング,timing,True,False,False,False,372785
ruuru,ルール,rule,True,False,False,False,372773
indo,インド,India,True,False,False,False,371837
chansu,チャンス,chance/opportunity,True,False,False,False,371257
fasshon,ファッション,fashion,True,False,False,False,371032
aato,アート,art,True,False,False,False,370621
daun,ダウン,going down/fall/decrease/drop,True,True,False,False,370174
pakku,パック,packing/packaging/wrapping/container,True,True,False,False,368133
edo,エド,NOTFOUND,False,False,False,False,367071
chiketto,チケット,ticket,True,False,False,False,366492
igirisu,イギリス,United Kingdom/Britain/Great Britain,True,False,False,False,365974
puran,プラン,plan/scheme,True,False,False,False,364853
kooto,コート,coat,True,False,False,False,364275
kantou,カントウ,NOTFOUND,False,False,False,False,362688
pasu,パス,"passing (a test, examination, etc.)",True,True,False,False,362390
ringu,リング,ring,True,False,False,False,362356
konsaato,コンサート,concert,True,False,False,False,362284
kopii,コピー,copy/photocopy,True,True,False,False,360906
kafe,カフェ,café/cafe/coffeehouse,True,False,False,False,359374
paatsu,パーツ,part/component,True,False,False,False,358939
ri,リ,NOTFOUND,False,False,False,False,358871
tsuuru,ツール,"tool (esp. software, etc.)",True,False,False,False,358446
nooto,ノート,notebook/copy-book/exercise book,True,False,False,False,356967
redii,レディー,lady,True,False,False,False,355902
guzzu,グッズ,goods/promotional items,True,False,False,False,354971
rei,レイ,lei (garland of flowers),True,False,False,False,351642
rasuto,ラスト,last/final,True,True,False,False,348953
ririisu,リリース,"release (of a film, music album, software, etc.)/publication",True,True,False,False,347456
tabako,タバコ,tobacco/cigarette/cigaret/cigar,True,False,False,False,347314
ruuto,ルート,route/path,True,False,False,False,345061
mashin,マシン,machine,True,False,False,False,344022
sapporo,サッポロ,NOTFOUND,False,False,False,False,343018
gooru,ゴール,goal/basket (basketball)/finishing line/winning post,True,True,False,False,340921
masutaa,マスター,to master (a skill),True,True,False,False,340607
piisu,ピース,peace,True,False,False,False,340336
gaido,ガイド,guide/tour guide/conductor/guiding/leading,True,True,False,False,340304
waarudo,ワールド,world,True,False,False,False,338915
haado,ハード,hard/tough,True,False,True,False,338774
kisu,キス,kiss,True,True,False,False,336523
haato,ハート,heart,True,False,False,False,336441
aachisuto,アーチスト,artist/musician,True,False,False,False,335932
yooroppa,ヨーロッパ,Europe,True,False,False,False,335199
konpyuutaa,コンピューター,computer,True,False,False,False,332722
renzu,レンズ,lens,True,False,False,False,332632
tenshon,テンション,(emotional) tension/anxiety,True,False,False,False,331538
riidaa,リーダー,leader,True,False,False,False,330178
reddo,レッド,red,True,False,True,False,330060
auto,アウト,"out (of a ball, in tennis, etc.)/outside the line",True,False,False,False,329656
kontorooru,コントロール,control,True,True,False,False,327260
adobaisu,アドバイス,advice,True,True,False,False,325011
shinguru,シングル,single,True,False,False,False,323574
beruto,ベルト,"belt (waist, seat, etc.)/strap",True,False,False,False,323507
suupu,スープ,(Western) soup,True,False,False,False,323029
saitama,サイタマ,NOTFOUND,False,False,False,False,322698
memorii,メモリー,memory,True,False,False,False,321994
roshia,ロシア,Russia,True,False,False,False,321243
jaketto,ジャケット,jacket,True,False,False,False,320428
bokkusu,ボックス,box,True,False,False,False,318316
roon,ローン,loan,True,False,False,False,317908
dameeji,ダメージ,damage,True,False,False,False,316762
rongu,ロング,long,True,False,True,False,315790
irasuto,イラスト,illustration/picture/sketch/drawing/figure,True,False,False,False,315588
kategorii,カテゴリー,category,True,False,False,False,315473
papa,パパ,papa/dad/daddy,True,False,False,False,315233
toreeningu,トレーニング,training,True,True,False,False,315133
gomu,ゴム,gum/rubber,True,False,False,False,314079
teii,ティー,tea,True,False,False,False,313933
shokku,ショック,shock (psychological),True,False,False,False,311940
tagu,タグ,tag/label,True,False,False,False,311419
rogu,ログ,log/journal,True,False,False,False,310941
kyuushuu,キュウシュウ,NOTFOUND,False,False,False,False,310122
doraibu,ドライブ,drive/trip by car/driving,True,False,False,False,309317
kontentsu,コンテンツ,contents/content,True,False,False,False,309196
repooto,レポート,report/paper,True,True,False,False,309165
intabyuu,インタビュー,"interview (i.e. television, newspaper, etc.)",True,True,False,False,308628
gesuto,ゲスト,guest,True,False,False,False,308001
toraburu,トラブル,trouble,True,False,False,False,306556
uebu,ウェブ,web,True,False,False,False,306407
peesu,ペース,pace,True,False,False,False,306074
ryou,リョウ,NOTFOUND,False,False,False,False,305631
ooru,オール,oar,True,False,False,False,303946
waaku,ワーク,work,True,False,False,False,303004
taiwan,タイワン,NOTFOUND,False,False,False,False,302818
aisu,アイス,ice,True,False,False,False,302066
daunroodo,ダウンロード,download,True,True,False,False,301768
sekkusu,セックス,sex/sexual intercourse,True,True,False,False,301433
kin,キン,NOTFOUND,False,False,False,False,301245
ressun,レッスン,lesson,True,False,False,False,301035
tatchi,タッチ,touch,True,True,False,False,300685
keeburu,ケーブル,cable,True,False,False,False,300106
komyunikeeshon,コミュニケーション,communication,True,False,False,False,299723
senchi,センチ,centimeter/centimetre,True,False,False,False,299690
shoppingu,ショッピング,shopping,True,True,False,False,299551
shirubaa,シルバー,silver,True,False,True,False,299100
daburu,ダブル,double,True,False,False,False,298944
an,アン,NOTFOUND,False,False,False,False,298889
channeru,チャンネル,channel,True,False,False,False,298285
de,デ,NOTFOUND,False,False,False,False,297562
akushon,アクション,action,True,False,False,False,296810
pen,ペン,pen,True,False,False,False,295967
satou,サトウ,NOTFOUND,False,False,False,False,295051
nyuu,ニュー,new,True,True,False,False,294239
dee,デー,day (as in holiday),False,False,False,False,294160
orenji,オレンジ,"orange (fruit, colour)",True,False,False,False,293606
shinjuku,シンジュク,NOTFOUND,False,False,False,False,293300
tanaka,タナカ,NOTFOUND,False,False,False,False,292975
mori,モリ,NOTFOUND,False,False,False,False,292776
getto,ゲット,"getting (something)/obtaining/scoring (goal, point, etc.)",True,True,False,False,290547
ruumu,ルーム,room,True,False,False,False,289936
fuudo,フード,hood,True,False,False,False,289266
saundo,サウンド,sound,True,False,False,False,289199
shooto,ショート,short,True,False,True,False,288086
senchimeetoru,センチメートル,centimeter/centimetre,True,False,False,False,287910
meeku,メーク,make-up,True,True,False,False,287452
insutooru,インストール,installation (esp. software),True,True,False,False,287086
purinto,プリント,print/printing/(printed) copy,True,True,False,False,286893
suutsu,スーツ,suit (clothing),True,False,False,False,286079
noo,ノー,no,False,False,False,False,285514
masukomi,マスコミ,mass communication/mass media,True,False,False,False,284662
adoresu,アドレス,address,True,False,False,False,284555
kyanpeen,キャンペーン,"promotion (e.g. sales, etc.)/marketing campaign",True,False,False,False,284530
kanagawa,カナガワ,NOTFOUND,False,False,False,False,284412
chiizu,チーズ,cheese,True,False,False,False,283751
tooku,トーク,"talk (esp. by a talk-show host, or by a stage musician to the audience between songs)/banter/chat",True,False,False,False,283514
rentaru,レンタル,rental,True,True,False,False,283134
eko,エコ,ecological/eco-,True,False,True,False,283132
furonto,フロント,"front (aspect, weather, war-front, etc.)",True,False,False,False,282305
burokku,ブロック,blocking (e.g. the way)/obstructing,True,True,False,False,281809
eaa,エアー,air,True,False,False,False,281026
sanpuru,サンプル,sample/example/specimen,True,False,False,False,280962
ookee,オーケー,OK/okay,True,True,False,False,280936
sendai,センダイ,NOTFOUND,False,False,False,False,280626
fureemu,フレーム,frame,True,False,False,False,279444
janpu,ジャンプ,jump,True,True,False,False,279075
heddo,ヘッド,head,True,False,False,False,278974
doraibaa,ドライバー,driver (of a vehicle),True,False,False,False,278154
roodo,ロード,road,True,False,False,False,278066
niigata,ニイガタ,NOTFOUND,False,False,False,False,277737
seminaa,セミナー,seminar,True,False,False,False,277595
doresu,ドレス,dress,True,False,False,False,276978
sain,サイン,autograph/signature,True,True,False,False,276723
hea,ヘア,hair (of the head),True,False,False,False,276265
cheen,チェーン,"chain (bicycle, measuring, tire, etc.)",True,False,False,False,275941
hitoshi,ヒトシ,NOTFOUND,False,False,False,False,275868
ranchi,ランチ,lunch,True,False,False,False,274042
suzuki,スズキ,"Japanese sea perch (Lateolabrax japonicus, esp. referring to an adult)/Japanese sea bass",True,False,False,False,271380
touhoku,トウホク,NOTFOUND,False,False,False,False,270636
ria,リア,rear,True,False,True,False,270599
sukuuru,スクール,school,True,False,False,False,270574
abe,アベ,NOTFOUND,False,False,False,False,270139
tsuu,ツー,two,True,False,False,False,269154
monitaa,モニター,(computer) monitor,True,False,False,False,268679
matsumoto,マツモト,NOTFOUND,False,False,False,False,267828
bebii,ベビー,baby,True,False,False,False,267586
kauntaa,カウンター,counter,True,False,False,False,267135
rizumu,リズム,rhythm,True,False,False,False,266689
itou,イトウ,NOTFOUND,False,False,False,False,266623
foomu,フォーム,foam,True,False,False,False,266419
pakkeeji,パッケージ,package,True,True,False,False,266175
teepu,テープ,tape,True,False,False,False,266149
choko,チョコ,chocolate,True,False,False,False,265992
uirusu,ウイルス,virus,True,False,False,False,265183
memo,メモ,memo/note/memorandum,True,True,False,False,264739
nanbaa,ナンバー,number,True,False,False,False,264362
supein,スペイン,Spain,True,False,False,False,263144
sukii,スキー,skiing,True,False,False,False,262377
shibuya,シブヤ,NOTFOUND,False,False,False,False,262324
ranku,ランク,rank/standing,True,True,False,False,262189
raifu,ライフ,life,True,False,False,False,261968
paneru,パネル,panel,True,False,False,False,261476
goorudo,ゴールド,gold,True,False,True,False,261155
suponsaa,スポンサー,sponsor,True,False,False,False,259981
ozawa,オザワ,NOTFOUND,False,False,False,False,259866
pafoomansu,パフォーマンス,"performance (e.g. music, dance, pantomime, etc.)",True,False,False,False,259305
konbini,コンビニ,convenience store,True,False,False,False,259246
takahashi,タカハシ,NOTFOUND,False,False,False,False,259188
taiya,タイヤ,tire/tyre,True,False,False,False,258926
apuri,アプリ,app/application,True,False,False,False,258787
takashi,タカシ,NOTFOUND,False,False,False,False,258642
boodo,ボード,board,True,False,False,False,258122
yamaguchi,ヤマグチ,NOTFOUND,False,False,False,False,257998
batterii,バッテリー,battery,True,False,False,False,257551
nakamura,ナカムラ,NOTFOUND,False,False,False,False,256920
shizuoka,シズオカ,NOTFOUND,False,False,False,False,256845
paato,パート,part,True,False,False,False,256826
uesuto,ウエスト,waist/waistline/waist measurement,True,False,False,False,256810
sutando,スタンド,stands/bleachers,True,False,False,False,255969
sofutouea,ソフトウェア,software,True,False,False,False,255734
raberu,ラベル,label (i.e. sticker),True,False,False,False,254758
guramu,グラム,gram/gramme,True,False,False,False,253841
mappu,マップ,map,True,False,False,False,253825
sutajio,スタジオ,studio,True,False,False,False,253329
yunitto,ユニット,unit,True,False,False,False,253151
sukaato,スカート,skirt,True,False,False,False,253149
tekisuto,テキスト,text,True,False,False,False,252648
suitchi,スイッチ,switch,True,True,False,False,251939
saakuru,サークル,group with a common interest (e.g. students)/club (e.g. company sports club)/circle,True,False,False,False,251881
seeru,セール,sale,True,False,False,False,251334
buutsu,ブーツ,boots,True,False,False,False,250647
kitchin,キッチン,kitchen,True,False,False,False,250642
nagano,ナガノ,NOTFOUND,False,False,False,False,250629
guree,グレー,grey (gray),True,False,True,False,250344
taoru,タオル,towel,True,False,False,False,250133
san,サン,sun,True,False,False,False,248917
tomato,トマト,tomato (Solanum lycopersicum),True,False,False,False,248901
japan,ジャパン,Japan,True,False,False,False,248362
sensu,センス,"taste (in fashion, music, etc.)/sense (e.g. of humour)/flair",True,False,False,False,247769
takeshi,タケシ,NOTFOUND,False,False,False,False,247691
bitamin,ビタミン,vitamin,True,False,False,False,247655
meritto,メリット,advantage/benefit/merit,True,False,False,False,246748
shii,シー,sea,True,False,False,False,245783
mainasu,マイナス,minus/negative (quantity)/subtraction/taking away,True,True,False,False,244996
doragon,ドラゴン,dragon (as depicted in Western myths),True,False,False,False,244173
yuu,ユー,you,True,False,False,False,243839
yamato,ヤマト,NOTFOUND,False,False,False,False,243344
gan,ガン,gun,True,False,False,False,242666
dekki,デッキ,"deck (e.g. ship, tape, cassette, observation, train vestibule, etc.)",True,False,False,False,242276
yamada,ヤマダ,NOTFOUND,False,False,False,False,242096
jun,ジュン,NOTFOUND,False,False,False,False,241954
bosu,ボス,boss/leader/head,True,False,False,False,241574
etchi,エッチ,H/h,True,False,False,False,241168
apurikeeshon,アプリケーション,application/application software,True,False,False,False,240811
opushon,オプション,option/selecting an option,True,True,False,False,240801
raidaa,ライダー,rider,True,False,False,False,240278
naito,ナイト,night,True,False,False,False,238934
ofisu,オフィス,office,True,False,False,False,238475
shotto,ショット,shot (in films),True,False,False,False,237712
suteppu,ステップ,step,True,True,False,False,237485
reshipi,レシピ,recipe,True,False,False,False,237479
puuru,プール,(swimming) pool,True,False,False,False,236773
kei,ケイ,K/k,True,False,False,False,235575
rando,ランド,land,True,False,False,False,235374
takushii,タクシー,taxi,True,False,False,False,235192
monsutaa,モンスター,monster/monstrosity,True,False,False,False,234663
yamamoto,ヤマモト,NOTFOUND,False,False,False,False,234260
saron,サロン,salon/saloon/reception room,True,False,False,False,234153
disuku,ディスク,disk,True,False,False,False,233547
shou,ショウ,show,True,False,False,False,233529
ban,バン,bun,True,False,False,False,233503
hiroin,ヒロイン,heroine,True,False,False,False,232351
kyanpu,キャンプ,camp,True,True,False,False,231186
roo,ロー,low,True,True,False,False,230888
supesharu,スペシャル,special,True,False,True,False,229572
bukku,ブック,book,True,False,False,False,229323
miyazaki,ミヤザキ,NOTFOUND,False,False,False,False,228963
kurejitto,クレジット,credit,True,False,False,False,228472
watanabe,ワタナベ,NOTFOUND,False,False,False,False,228333
gifuto,ギフト,gift,True,False,False,False,228165
botoru,ボトル,bottle,True,False,False,False,227827
aichi,アイチ,NOTFOUND,False,False,False,False,227184
pari,パリ,Paris (France),True,False,False,False,226833
sekyuriteii,セキュリティー,security,True,False,False,False,225856
aidia,アイディア,idea,True,False,False,False,225377
buraun,ブラウン,brown,True,False,False,False,225288
batoru,バトル,battle,True,False,False,False,225195
arenji,アレンジ,"arrangement (music, objects, etc.)/organization/adaptation",True,True,False,False,224343
oonaa,オーナー,owner,True,False,False,False,224126
karaoke,カラオケ,karaoke,True,False,False,False,224098
kan,カン,can/tin,True,False,False,False,223079
kyaria,キャリア,career,True,False,False,False,222679
mobiiru,モビール,mobile,True,True,False,False,222675
pure,プレ,pre-,False,False,False,False,222197
nara,ナラ,NOTFOUND,False,False,False,False,221696
oushuu,オウシュウ,NOTFOUND,False,False,False,False,221487
kou,コウ,"kalpa (eon, aeon)",True,False,False,False,221201
demo,デモ,demonstration/protest,True,False,False,False,220684
shin,シン,thin,True,False,False,False,220112
miruku,ミルク,milk,True,False,False,False,219238
suiito,スイート,sweet (flavour),True,False,True,False,218972
anchi,アンチ,anti-,False,False,False,False,218960
deeto,デート,date (with someone)/(social) outing (for two)/date night,True,True,False,False,218780
endo,エンド,end,True,False,False,False,218254
tama,タマ,NOTFOUND,False,False,False,False,218203
boryuumu,ボリューム,volume (sound level),True,False,False,False,217896
