English,Hepburn,Kana,Frequency,Shortened/changed spelling,Different Meaning
title,taitoru,タイトル,737238,0,
no,no,ノ,735268,0,1
time,taimu,タイム,725557,0,
on,on,オン,718626,0,
main,mein,メイン,706695,0,
comedian,neta,ネタ,702127,0,1
shop,shoppu,ショップ,698063,0,
really,honto,ホント,696233,0,1
black,burakku,ブラック,690771,0,
album,arubamu,アルバム,690263,0,
item,aitemu,アイテム,684196,0,
France,furansu,フランス,675292,0,
supermarket,suupaa,スーパー,662998,1,0
club,kurabu,クラブ,651646,0,
present,purezento,プレゼント,646249,0,
start,sutaato,スタート,640590,0,
race,reesu,レース,639198,0,
original,orijinaru,オリジナル,638443,0,
bag,baggu,バッグ,633910,0,
energy,enerugii,エネルギー,632611,0,
balance,baransu,バランス,627102,0,
stupid,baka,バカ,624523,1,
dollar,doru,ドル,622160,1,
power,pawaa,パワー,620661,0,
band,bando,バンド,619390,0,
support,sapooto,サポート,615060,0,
wine,wain,ワイン,614519,0,
mama,mama,ママ,612294,0,
review,rebyuu,レビュー,606826,0,
internet,intaanetto,インターネット,598932,0,
yes,hai,ハイ,598831,1,
"erotic media",ero,エロ,597950,1,1
shirt,shatsu,シャツ,596532,0,
rock,rokku,ロック,596365,0,
cut,katto,カット,593456,0,
best,besuto,ベスト,590639,0,
program,puroguramu,プログラム,582572,0,
mono,mono,モノ,580768,1,
base,beesu,ベース,577476,0,
tour,tsuaa,ツアー,576117,0,
diet,daietto,ダイエット,572709,0,
soccer,sakkaa,サッカー,571636,0,
test,tesuto,テスト,571255,0,
light,raito,ライト,568955,0,
menu,menyuu,メニュー,567977,0,
video,bideo,ビデオ,567524,0,
button,botan,ボタン,565711,0,
Germany,doitsu,ドイツ,561609,1,1
free,furii,フリー,560687,0,
pink,pinku,ピンク,559058,0,
full,furu,フル,552885,0,
blue,buruu,ブルー,544574,0,
media,media,メディア,544480,0,
code,koodo,コード,540055,0,
click,kurikku,クリック,530091,0,
my,ore,オレ,526478,0,1
user,yuuzaa,ユーザー,526478,0,
access,akusesu,アクセス,524290,0,
mode,moodo,モード,523642,0,
real,riaru,リアル,523305,0,
open,oopun,オープン,520387,0,
stage,suteeji,ステージ,511597,0,
story,sutoorii,ストーリー,509868,0,
cup,kappu,カップ,509838,0,
Christmas,kurisumasu,クリスマス,508013,0,
advice,susume,ススメ,505692,0,1
toilet,toire,トイレ,505672,1,0
cream,kuriimu,クリーム,501094,0,
Asia,ajia,アジア,500135,0,
saint or used in names,san,サン,497588,1,
engine,enjin,エンジン,494971,0,
cake,keeki,ケーキ,492937,0,
clear,kuria,クリア,492320,0,
cover,kabaa,カバー,489148,0,
seriously,maji,マジ,487291,0,1
white,howaito,ホワイト,486700,0,
gas,gasu,ガス,485240,0,
care,kea,ケア,484184,0,
coffee,koohii,コーヒー,471476,0,0
simple,shinpuru,シンプル,469895,0,0
condominium,manshon,マンション,468320,0,1
sheet,shiito,シート,468210,0,0
character,kyarakutaa,キャラクター,465539,0,0
byte,baito,バイト,464603,0,0
dance,dansu,ダンス,464556,0,0
corner,koonaa,コーナー,464310,0,0
beer,biru,ビル,463028,0,0
message,messeeji,メッセージ,462283,0,0
guitar,gitaa,ギター,460969,0,0
cost,kosuto,コスト,460822,0,0
hall,hooru,ホール,459551,0,0
ranking,rankingu,ランキング,457077,0,0
kilogram/kilometers?,kiro,キロ,455098,1,0
season,shiizun,シーズン,455052,0,0
Thailand,tai,タイ,454984,1,0
digital,dejitaru,デジタル,453245,0,0
side,saido,サイド,447252,0,0
space,supeesu,スペース,446514,0,0
car,kaa,カー,444329,0,0
stress,sutoresu,ストレス,442221,0,0
speed,supiido,スピード,440845,0,0
pocket,poketto,ポケット,439692,0,0
table,teeburu,テーブル,438489,0,0
genre,janru,ジャンル,437943,0,0
piano,piano,ピアノ,436998,0,0
massage,massaaji,マッサージ,435191,0,0
off,ofu,オフ,434080,0,0
bike,baiku,バイク,433812,0,0
glass,garasu,ガラス,433572,0,0
area,eria,エリア,433112,0,0
bed,beddo,ベッド,432915,0,0
pattern,pataan,パターン,432639,0,0
Italy,itaria,イタリア,430157,1,0
,petto,ペット,426080,,
,biiru,ビール,425405,,
,raamen,ラーメン,424593,,
,soosu,ソース,423334,,
,gan,ガン,421187,,
,risuto,リスト,420133,,
,nettowaaku,ネットワーク,416816,,
,pantsu,パンツ,415969,,
,kore,コレ,415378,,
,ヽ,ヽ,414777,,
,purojiekuto,プロジェクト,414151,,
,ii,イイ,413886,,
,rajio,ラジオ,412905,,
,mai,マイ,412008,,
,oiru,オイル,410944,,
,resu,レス,410396,,
,ko,コ,404333,,
,hausu,ハウス,402023,,
,waado,ワード,400406,,
,mini,ミニ,400017,,
,gorufu,ゴルフ,398693,,
,doa,ドア,397680,,
,kakko,カッコ,397222,,
,hitto,ヒット,397036,,
,maaku,マーク,396364,,
,sutaa,スター,393192,,
,risuku,リスク,393009,,
,baajon,バージョン,391733,,
,bodi,ボディ,391487,,
,purasu,プラス,386086,,
,guriin,グリーン,385745,,
,sukiru,スキル,385501,,
,torakku,トラック,385248,,
,karee,カレー,384223,,
,baa,バー,383699,,
,resutoran,レストラン,381408,,
,ai,アイ,380563,,
,riigu,リーグ,379706,,
,soro,ソロ,374711,,
,shoo,ショー,374598,,
,misu,ミス,374386,,
,aidoru,アイドル,374242,,
,debyuu,デビュー,373071,,
,taimingu,タイミング,372785,,
,ruuru,ルール,372396,,
,fasshon,ファッション,370727,,
,chansu,チャンス,370603,,
,daun,ダウン,368912,,
,pakku,パック,367936,,
,chiketto,チケット,365745,,
,kooto,コート,364764,,
,puran,プラン,363990,,
,igirisu,イギリス,363761,,
,ri,リ,363304,,
,indo,インド,362701,,
,are,アレ,362525,,
,pasu,パス,362369,,
,konsaato,コンサート,360948,,
,kopii,コピー,360853,,
,paatsu,パーツ,358939,,
,ni,ニ,358844,,
,ringu,リング,358827,,
,tsuuru,ツール,358446,,
,ran,ラン,356109,,
,za,ザ,354161,,
,kafe,カフェ,351420,,
,guzzu,グッズ,346925,,
,rasuto,ラスト,346914,,
,nooto,ノート,345203,,
,ruuto,ルート,344779,,
,ririisu,リリース,343565,,
,gooru,ゴール,340738,,
,gaido,ガイド,339961,,
,haado,ハード,338730,,
,piisu,ピース,338621,,
,ka,カ,335243,,
,yooroppa,ヨーロッパ,334750,,
,waarudo,ワールド,334036,,
,renzu,レンズ,332009,,
,tenshon,テンション,331517,,
,zero,ゼロ,330670,,
,reddo,レッド,327937,,
,kontorooru,コントロール,326822,,
,aateisuto,アーティスト,324853,,
,shinguru,シングル,323574,,
,auto,アウト,323039,,
,beruto,ベルト,322335,,
,adobaisu,アドバイス,321447,,
,jaketto,ジャケット,320084,,
,ha,ハ,319717,,
,roshia,ロシア,318257,,
,roon,ローン,317895,,
,ta,タ,317197,,
,ki,キ,317151,,
,dameeji,ダメージ,316704,,
,irasuto,イラスト,315587,,
,rongu,ロング,315227,,
,toreeningu,トレーニング,315133,,
,riidaa,リーダー,313113,,
,meetoru,メートル,312782,,
,kisu,キス,312689,,
,suupu,スープ,312424,,
,shokku,ショック,311908,,
,gomu,ゴム,309987,,
,kontentsu,コンテンツ,309138,,
,gesuto,ゲスト,308001,,
,masutaa,マスター,306337,,
,peesu,ペース,306074,,
,rogu,ログ,305525,,
,senchi,センチ,304684,,
,saabaa,サーバー,303677,,
,toraburu,トラブル,303072,,
,daunroodo,ダウンロード,301768,,
,doraibu,ドライブ,301710,,
,papa,パパ,300678,,
,tatchi,タッチ,300611,,
,ressun,レッスン,300462,,
,keeburu,ケーブル,300038,,
,intabyuu,インタビュー,299701,,
,shoppingu,ショッピング,299551,,
,rabu,ラブ,298300,,
,haato,ハート,298273,,
,aisu,アイス,296618,,
,de,デ,296285,,
,ooru,オール,296103,,
,akushon,アクション,296088,,
,mashin,マシン,294853,,
,daburu,ダブル,294103,,
,paateii,パーティー,293784,,
,orenji,オレンジ,293440,,
,bokkusu,ボックス,291377,,
,na,ナ,291127,,
,an,アン,290560,,
,pen,ペン,289741,,
,shooto,ショート,288018,,
,aho,アホ,287425,,
,insutooru,インストール,286961,,
,shirubaa,シルバー,286715,,
,ruumu,ルーム,285988,,
,suutsu,スーツ,285978,,
,purinto,プリント,285971,,
,kirei,キレイ,285458,,
,saundo,サウンド,285077,,
,masukomi,マスコミ,284540,,
,adoresu,アドレス,284507,,
,kyanpeen,キャンペーン,284471,,
,chiizu,チーズ,283732,,
,rentaru,レンタル,283051,,
,tooku,トーク,282799,,
,aato,アート,282467,,
,furonto,フロント,282305,,
,burokku,ブロック,281092,,
,sanpuru,サンプル,280858,,
,sekkusu,セックス,280854,,
,repooto,レポート,279987,,
,yatsu,ヤツ,279239,,
,eko,エコ,278254,,
,janpu,ジャンプ,278240,,
,roodo,ロード,278025,,
,nyuu,ニュー,277846,,
,doresu,ドレス,276969,,
,sain,サイン,275996,,
,komyunikeeshon,コミュニケーション,274868,,
,ranchi,ランチ,274042,,
,ga,ガ,273864,,
,kurosu,クロス,273771,,
,fuudo,フード,273734,,
,heddo,ヘッド,273005,,
,pin,ピン,271465,,
,sukuuru,スクール,270084,,
,meiku,メイク,268638,,
,fureemu,フレーム,268568,,
,kuuru,クール,267931,,
,tagu,タグ,267872,,
,seminaa,セミナー,267289,,
,pakkeeji,パッケージ,266175,,
,teepu,テープ,266149,,
,choko,チョコ,265992,,
,rizumu,リズム,265693,,
,memo,メモ,264271,,
,gomi,ゴミ,264063,,
,waaku,ワーク,263886,,
,supein,スペイン,262591,,
,boku,ボク,262459,,
,sukii,スキー,262377,,
,ranku,ランク,262189,,
,paneru,パネル,261476,,
,kon,コン,260573,,
,puree,プレー,260008,,
,suponsaa,スポンサー,259981,,
,mi,ミ,259755,,
,bikkuri,ビックリ,259528,,
,konbini,コンビニ,259246,,
,apuri,アプリ,258787,,
,fuji,フジ,258366,,
,chan,チャン,258228,,
,boodo,ボード,258122,,
,goorudo,ゴールド,258040,,
,pafoomansu,パフォーマンス,257845,,
,raifu,ライフ,256839,,
,taiya,タイヤ,256713,,
,sutando,スタンド,255869,,
,uebu,ウェブ,254947,,
,sukaato,スカート,253149,,
,getto,ゲット,253146,,
,yunitto,ユニット,253018,,
,saakuru,サークル,251881,,
,sutajio,スタジオ,251112,,
,uchi,ウチ,250757,,
,buutsu,ブーツ,250647,,
,chi,チ,250140,,
,taoru,タオル,250133,,
,suitchi,スイッチ,249638,,
,i,イ,249465,,
,paato,パート,249396,,
,tomato,トマト,248901,,
,kitchin,キッチン,248133,,
,kauntaa,カウンター,247418,,
,bitamin,ビタミン,247157,,
,meritto,メリット,246730,,
,ne,ネ,246466,,
,rei,レイ,245798,,
,mappu,マップ,245792,,
,mainasu,マイナス,244996,,
,tekisuto,テキスト,243785,,
,seeru,セール,243738,,
,sensu,センス,243540,,
,pureiyaa,プレイヤー,242445,,
,dekki,デッキ,242276,,
,manga,マンガ,242154,,
,apurikeeshon,アプリケーション,240708,,
,opushon,オプション,240547,,
,konpyuuta,コンピュータ,240425,,
,cheen,チェーン,239151,,
,menzu,メンズ,238814,,
,bosu,ボス,238495,,
,shotto,ショット,237712,,
,reshipi,レシピ,237444,,
,ofisu,オフィス,236410,,
,koko,ココ,236315,,
,puuru,プール,236226,,
,shii,シー,235221,,
,takushii,タクシー,235043,,
,suteppu,ステップ,234779,,
,do,ド,234025,,
,saaba,サーバ,233856,,
,saron,サロン,233037,,
,hiroin,ヒロイン,232351,,
,nanbaa,ナンバー,231576,,
,ma,マ,231179,,
,kyanpu,キャンプ,230981,,
,sofutouea,ソフトウェア,230330,,
,ria,リア,229776,,
,monsutaa,モンスター,229510,,
,disuku,ディスク,229354,,
,to,ト,229138,,
,rando,ランド,228316,,
,gifuto,ギフト,228165,,
,supesharu,スペシャル,227813,,
,hea,ヘア,227618,,
,botoru,ボトル,227602,,
,batterii,バッテリー,227404,,
Japan,japan,ジャパン,227176,0,0
,batoru,バトル,225195,,
,buraun,ブラウン,224972,,
,arenji,アレンジ,224343,,
,kurejitto,クレジット,224187,,
karaoke,karaoke,カラオケ,224088,0,the other way
no,noo,ノー,223812,0,0
ladies,rediisu,レディース,222407,0,0
,bebii,ベビー,221359,,
,naito,ナイト,221266,,
,pari,パリ,220969,,
,uesuto,ウエスト,220764,,
,demo,デモ,220684,,
,ya,ヤ,220424,,
,raidaa,ライダー,220066,,
,oonaa,オーナー,219298,,
,memori,メモリ,218964,,
,sumaato,スマート,218710,,
,konpakuto,コンパクト,217832,,
,ion,イオン,217465,,
,kyaria,キャリア,217168,,
,riido,リード,216968,,
,apiiru,アピール,216473,,
,dokidoki,ドキドキ,216272,,
,kyasuto,キャスト,215510,,
,boranteia,ボランティア,215170,,
,adaruto,アダルト,214760,,
,matto,マット,214643,,
,u,ウ,214626,,
,purosesu,プロセス,214531,,
,desu,デス,213971,,
,endo,エンド,213944,,
,esute,エステ,213855,,
,inchi,インチ,213235,,
,rezaa,レザー,213135,,
,oosutoraria,オーストラリア,212981,,
,anchi,アンチ,212752,,
,doragon,ドラゴン,212584,,
,sarada,サラダ,212535,,
,shinario,シナリオ,212456,,
,supotto,スポット,212240,,
,ari,アリ,212120,,
,sukejuuru,スケジュール,211759,,
,koochi,コーチ,210669,,
,rogo,ロゴ,209948,,
,te,テ,209277,,
,koa,コア,209028,,
,monitaa,モニター,208814,,
,koto,コト,208583,,
,pokemon,ポケモン,208500,,
,taan,ターン,207774,,
,masuku,マスク,207642,,
,ea,エア,207638,,
,arubaito,アルバイト,207571,,
,roo,ロー,207434,,
,suruu,スルー,206392,,
,paaku,パーク,206381,,
,miruku,ミルク,206141,,
,foomu,フォーム,205565,,
,maruchi,マルチ,205223,,
,ribon,リボン,204767,,
,deeto,デート,204464,,
,mon,モン,204086,,
,serifu,セリフ,203911,,
,tenisu,テニス,203424,,
,maiku,マイク,202643,,
,bara,バラ,202563,,
,tabako,タバコ,202438,,
,beru,ベル,201827,,
,rin,リン,201562,,
,boryuumu,ボリューム,201298,,
,oodaa,オーダー,200532,,
,rooru,ロール,200226,,
,buumu,ブーム,200153,,
,korekushon,コレクション,199538,,
,doraibaa,ドライバー,198714,,
,episoodo,エピソード,198638,,
,sabu,サブ,198212,,
,mobairu,モバイル,198170,,
,e,エ,198112,,
,robotto,ロボット,197633,,
,gurasu,グラス,197303,,
,charenji,チャレンジ,197260,,
,pojishon,ポジション,197114,,
,shawaa,シャワー,196757,,
,poriesuteru,ポリエステル,196696,,
,firumu,フィルム,196288,,
,guree,グレー,195836,,
,banku,バンク,195114,,
,matchi,マッチ,193834,,
,ton,トン,193648,,
,poozu,ポーズ,193564,,
,sekyuritei,セキュリティ,193480,,
,tanku,タンク,192775,,
,manyuaru,マニュアル,192764,,
,mausu,マウス,192731,,
,meido,メイド,192532,,
,konseputo,コンセプト,192313,,
,kingu,キング,192206,,
,juusu,ジュース,191761,,
,teii,ティー,191458,,
,akusesarii,アクセサリー,191097,,
,arukooru,アルコール,191061,,
,jazu,ジャズ,190930,,
,posuto,ポスト,190736,,
,hawai,ハワイ,190437,,
,kirisuto,キリスト,190058,,
,nyuuyooku,ニューヨーク,189265,,
,toyota,トヨタ,189139,,
,doomu,ドーム,189128,,
,nachuraru,ナチュラル,189040,,
,biggu,ビッグ,188961,,
,sutorappu,ストラップ,188645,,
,souru,ソウル,188438,,
,interia,インテリア,188374,,
,shuuzu,シューズ,188340,,
,chokoreeto,チョコレート,188288,,
,deetabeesu,データベース,188236,,
,sutoreeto,ストレート,187521,,
,gandamu,ガンダム,187355,,
,iya,イヤ,186886,,
,oobaa,オーバー,185470,,
,doramu,ドラム,185450,,
,channeru,チャンネル,184923,,
,bukku,ブック,184849,,
,uirusu,ウイルス,184774,,
,rekoodo,レコード,184336,,
,chippu,チップ,183863,,
,mo,モ,182980,,
,kurashikku,クラシック,182837,,
,paatei,パーティ,182803,,
,konbi,コンビ,182302,,
,ekisu,エキス,181317,,
,kooru,コール,181307,,
,kitto,キット,181072,,
,ookushon,オークション,180814,,
,handoru,ハンドル,180436,,
,pachinko,パチンコ,180211,,
,jon,ジョン,179560,,
,kappuru,カップル,179521,,
,chatto,チャット,178773,,
,fiirudo,フィールド,178605,,
,roozu,ローズ,177901,,
,kurinikku,クリニック,177872,,
,gaado,ガード,177821,,
,seru,セル,177201,,
,miri,ミリ,176506,,
,shanpuu,シャンプー,175962,,
,masu,マス,175816,,
,girigiri,ギリギリ,175763,,
,kiiboodo,キーボード,175599,,
,megane,メガネ,175473,,
,horumon,ホルモン,175397,,
,shin,シン,175291,,
,mashi,マシ,175166,,
,ikemen,イケメン,175072,,
,ankeeto,アンケート,175022,,
,rea,レア,174836,,
,renji,レンジ,174627,,
,sukuriin,スクリーン,174488,,
,arerugii,アレルギー,174411,,
,sute,ステ,174143,,
,mejaa,メジャー,174036,,
,posutaa,ポスター,173676,,
,aru,アル,173299,,
,kanada,カナダ,173280,,
,damu,ダム,173101,,
,marason,マラソン,172896,,
,apaato,アパート,172555,,
,hotto,ホット,172167,,
,bureeki,ブレーキ,171909,,
,maikuro,マイクロ,171656,,
,daaku,ダーク,171480,,
,burashi,ブラシ,171093,,
,purofiiru,プロフィール,170913,,
,puchi,プチ,170640,,
,karorii,カロリー,170348,,
,niizu,ニーズ,170223,,
,sumuuzu,スムーズ,169890,,
,nori,ノリ,169349,,
,dizunii,ディズニー,169241,,
,pureeto,プレート,169139,,
,reezaa,レーザー,168862,,
,obu,オブ,168609,,
,figyua,フィギュア,168603,,
,etchi,エッチ,168492,,
,ribingu,リビング,168403,,
,nabi,ナビ,168201,,
,kan,カン,167601,,
,fon,フォン,167479,,
,da,ダ,167409,,
,rondon,ロンドン,166790,,
,paatonaa,パートナー,166411,,
,sutoon,ストーン,166199,,
,songu,ソング,166148,,
,boonasu,ボーナス,165954,,
,pure,プレ,165864,,
,kategori,カテゴリ,165776,,
,burajiru,ブラジル,165404,,
,shiiru,シール,165240,,
,yuuro,ユーロ,165203,,
,eakon,エアコン,165144,,
,tsubo,ツボ,165097,,
,eraa,エラー,164805,,
,maaketeingu,マーケティング,164777,,
,rirakkusu,リラックス,164409,,
,tekunikku,テクニック,164170,,
,rooma,ローマ,163999,,
,supiikaa,スピーカー,163954,,
,dorai,ドライ,163887,,
,onanii,オナニー,163806,,
,majikku,マジック,163614,,
,kajuaru,カジュアル,163545,,
,biichi,ビーチ,163099,,
,gee,ゲー,163004,,
,hamu,ハム,162999,,
,tawaa,タワー,162986,,
,hito,ヒト,162984,,
,shi,シ,162928,,
,ke,ケ,162871,,
,ranpu,ランプ,162689,,
,famirii,ファミリー,162574,,
,nitto,ニット,162538,,
,kuraianto,クライアント,162467,,
,yu,ユ,162213,,
,dezainaa,デザイナー,162040,,
,aidea,アイデア,161826,,
,inpakuto,インパクト,161785,,
,so,ソ,161253,,
,entorii,エントリー,161039,,
,katarogu,カタログ,160912,,
,dorinku,ドリンク,160757,,
,gasorin,ガソリン,160481,,
,furuutsu,フルーツ,160408,,
,rizooto,リゾート,160379,,
,ku,ク,159974,,
,shitei,シティ,159741,,
,myuujikku,ミュージック,159649,,
,supekku,スペック,159527,,
,poppu,ポップ,159227,,
,benchi,ベンチ,159203,,
,kochira,コチラ,159124,,
,eru,エル,158734,,
,metaru,メタル,158021,,
,oshare,オシャレ,157965,,
,pooru,ポール,157715,,
,basuto,バスト,157649,,
,nekkuresu,ネックレス,157090,,
,bura,ブラ,157015,,
,infuruenza,インフルエンザ,156507,,
,karendaa,カレンダー,156462,,
,kyuuto,キュート,156245,,
,rosu,ロス,155904,,
,hiiroo,ヒーロー,155672,,
,tsu,ツ,155665,,
,sekushii,セクシー,155327,,
,tarento,タレント,155017,,
,haafu,ハーフ,154788,,
,ooto,オート,154772,,
,haabu,ハーブ,154304,,
,keetai,ケータイ,154168,,
,pea,ペア,154093,,
,orinpikku,オリンピック,153566,,
,gooshu,ゴーシュ,153487,,
,taagetto,ターゲット,153314,,
,ana,アナ,153306,,
,furawaa,フラワー,153172,,
,anaru,アナル,153124,,
,jakku,ジャック,152737,,
,sa,サ,152619,,
,pasuta,パスタ,152616,,
,tero,テロ,152534,,
,taun,タウン,152371,,
,fitto,フィット,152363,,
,yuuza,ユーザ,152153,,
,jimu,ジム,152140,,
,betonamu,ベトナム,152071,,
,kirakira,キラキラ,151802,,
,don,ドン,151454,,
,shuuto,シュート,151428,,
,sukkiri,スッキリ,151425,,
,kyatchi,キャッチ,151043,,
,tsuu,ツー,150751,,
,sonii,ソニー,150527,,
,maaketto,マーケット,150441,,
,mochiifu,モチーフ,150404,,
,jietto,ジェット,150401,,
,rakkii,ラッキー,150281,,
,neemu,ネーム,149868,,
,kategorii,カテゴリー,149628,,
,kyappu,キャップ,149552,,
,anarogu,アナログ,149436,,
,faasuto,ファースト,149361,,
,foroo,フォロー,148974,,
,nekku,ネック,148806,,
,iraira,イライラ,148804,,
,apuroochi,アプローチ,148510,,
,kotton,コットン,148437,,
,afurika,アフリカ,148305,,
,kyanseru,キャンセル,148295,,
,shiruetto,シルエット,148180,,
,aroma,アロマ,147727,,
,sesshon,セッション,147701,,
,eesu,エース,147627,,
,nikoniko,ニコニコ,146887,,
,nouhau,ノウハウ,146836,,
,burauza,ブラウザ,146497,,
,mineraru,ミネラル,146358,,
,kuso,クソ,146151,,
,furasshu,フラッシュ,145952,,
,fera,フェラ,145675,,
,sutenresu,ステンレス,145548,,
,rikuesuto,リクエスト,145520,,
,koma,コマ,145496,,
,bai,バイ,145209,,
,rifoomu,リフォーム,145205,,
,firutaa,フィルター,144975,,
,ban,バン,144673,,
,raundo,ラウンド,144564,,
,watashi,ワタシ,144557,,
,sukin,スキン,144549,,
,puraibeeto,プライベート,144160,,
,muubii,ムービー,143703,,
,dezaato,デザート,143449,,
,gurume,グルメ,143382,,
,banana,バナナ,143311,,
,me,メ,143225,,
,peepaa,ペーパー,142709,,
,happii,ハッピー,142679,,
,ten,テン,142626,,
,antena,アンテナ,142494,,
,manaa,マナー,142243,,
,mania,マニア,142110,,
,dee,デー,141994,,
,nairon,ナイロン,141875,,
,disupurei,ディスプレイ,141829,,
,dora,ドラ,141824,,
,hando,ハンド,141661,,
,feisu,フェイス,141584,,
,dejikame,デジカメ,141398,,
,oodio,オーディオ,141218,,
,waido,ワイド,141145,,
,shifuto,シフト,141017,,
,risaikuru,リサイクル,140564,,
,raibaru,ライバル,140332,,
,purasuchikku,プラスチック,139888,,
,gooruden,ゴールデン,139872,,
,re,レ,139819,,
,kaaten,カーテン,139809,,
,remon,レモン,139684,,
,zoon,ゾーン,139565,,
,gurando,グランド,139394,,
,komikku,コミック,139270,,
,bataa,バター,139253,,
,neiru,ネイル,139155,,
,komyunitei,コミュニティ,139152,,
,gaki,ガキ,139048,,
,mentenansu,メンテナンス,138936,,
,regyuraa,レギュラー,138742,,
,oranda,オランダ,138668,,
,kosupure,コスプレ,138429,,
,bakkuappu,バックアップ,138339,,
,guroobaru,グローバル,138290,,
,chikin,チキン,138191,,
,otaku,オタク,138159,,
,komando,コマンド,138010,,
,kome,コメ,137832,,
,arumi,アルミ,137801,,
,supa,スパ,137622,,
,sutoretchi,ストレッチ,137430,,
,pittari,ピッタリ,137402,,
,gyagu,ギャグ,137298,,
,raivu,ライヴ,137147,,
,mu,ム,137132,,
,junia,ジュニア,136921,,
,daiyamondo,ダイヤモンド,136704,,
,paddo,パッド,136489,,
,suteki,ステキ,136327,,
,reeberu,レーベル,135887,,
,tenpo,テンポ,135779,,
,toreedo,トレード,135747,,
,miraa,ミラー,135645,,
,gaaru,ガール,135176,,
,repo,レポ,135112,,
,gyararii,ギャラリー,135099,,
,hosuto,ホスト,134969,,
,ika,イカ,134908,,
,puresu,プレス,134813,,
,baton,バトン,134738,,
,foto,フォト,134619,,
,fea,フェア,134600,,
,jan,ジャン,134228,,
,kuruma,クルマ,134181,,
,mikkusu,ミックス,133783,,
,sutoppu,ストップ,133367,,
,gaaden,ガーデン,133358,,
,kukkii,クッキー,133073,,
,rookaru,ローカル,132997,,
,wake,ワケ,132581,,
,ji,ジ,132482,,
,tei,ティ,132384,,
,kuri,クリ,132006,,
,innaa,インナー,131960,,
,ieroo,イエロー,131900,,
,chenji,チェンジ,131356,,
,paaru,パール,131279,,
,imaichi,イマイチ,131204,,
,boke,ボケ,131162,,
,domein,ドメイン,131084,,
,cha,チャ,130796,,
,piiku,ピーク,130735,,
,misshon,ミッション,130722,,
,furai,フライ,130614,,
,rappu,ラップ,130333,,
,debaisu,デバイス,129769,,
,tonneru,トンネル,129745,,
,oopuningu,オープニング,129106,,
,paipu,パイプ,128825,,
,kimu,キム,128700,,
,ken,ケン,128543,,
,kuesuto,クエスト,128480,,
,geeto,ゲート,128441,,
,uootaa,ウォーター,128436,,
,chon,チョン,128246,,
,neko,ネコ,128188,,
,dan,ダン,127987,,
,inku,インク,127813,,
,sukoa,スコア,127800,,
,pai,パイ,127737,,
,bari,バリ,127037,,
,magajin,マガジン,126983,,
,booto,ボート,126968,,
,yuu,ユー,126839,,
,urutora,ウルトラ,126783,,
,baburu,バブル,126642,,
,chirashi,チラシ,126363,,
,arisu,アリス,126325,,
,sutandaado,スタンダード,126314,,
,koin,コイン,126186,,
,pureeyaa,プレーヤー,125855,,
,kotsu,コツ,125716,,
